authFullName_s,producedDate_s,journalTitle_s,conferenceTitle_s,conferenceStartDate_s
"Emile Richard,Francis Bach,Jean-Philippe Vert",2013-06-16,,ICML 2013 - 30th International Conference on Machine Learning,2013-06-16
"Róbert Busa-Fekete,D. Benbouzid,Balázs Kégl",2012-06-26,,29th International Conference on Machine Learning (ICML 2012),2012-06-26
"Hachem Kadri,Asma Rabaoui,Philippe Preux,Emmanuel Duflos,Alain Rakotomamonjy",2011-06-28,,28th International Conference on Machine Learning (ICML),2011-06-28
Antoine Cornuéjols,1989-06-29,,6th International Workshop on Machine Learning (ICML-89),1989-06-29
"Matthieu Kowalski,Marie Szafranski,Liva Ralaivola",2009-06-14,,International Conference on Machine Learning (ICML 2009),2009-06-14
"Anthony Coutant,Philippe Leray,Hoel Le Capitaine",2013,,Structured Learning: Inferring Graphs from Structured and Unstructured Inputs (SLG 2013) ICML Workshop,2013
"Zhenyu Liao,Romain Couillet",2018-07-10,,ICML 2018 - 35th International Conference on Machine Learning,2018-07-10
"Andrei Kulunchakov,Julien Mairal",2019-06-10,,ICML 2019 - 36th International Conference on Machine Learning,2019-06-10
"M.-L Cauwet,C Couprie,J Dehos,P Luc,J Rapin,M Riviere,Fabien Teytaud,O Teytaud,N Usunier",2020-07-13,,37th International Conference on Machine Learning (ICML),2020-07-13
"Thanh Nguyen,Umut Şimşekli,Gael Richard",2019-06-10,,International Conference on Machine Learning (ICML),2019-06-10
"Cédric Colas,Olivier Sigaud,Pierre-Yves Oudeyer",2018-07-10,,International Conference on Machine Learning (ICML),2018-07-10
"Clément Romac,Rémy Portelas,Katja Hofmann,Pierre-Yves Oudeyer",2021-07-18,,ICML 2021 - Thirty-eighth International Conference on Machine Learning,2021-07-18
"Charles Corbière,Marc Lafon,Nicolas Thome,Matthieu Cord,Patrick Pérez",2021-09-23,,ICML 2021 Workshop on Uncertainty and Robustness in Deep Learning,2021-09-23
"Jean-Yves Franceschi,Edouard Delasalles,Mickaël Chen,Sylvain Lamprier,Patrick Gallinari",2020-07-12,,Thirty-seventh International Conference on Machine Learning,2020-07-12
"Manuel Loth,Manuel Davy,Rémi Coulom,Philippe Preux",2006-06-29,,"Kernel Methods and Reinforcement Learning, workshop of ICML 2006",2006-06-29
Julien Mairal,2013-06-16,,ICML 2013 - International Conference on Machine Learning,2013-06-16
"Romain Couillet,Gilles Wainrib,Hafiz Tiomoko Ali,Harry Sevi",2016-06-19,,International Conference on Machine Learning (ICML 2016),2016-06-19
"Elliot Chane-Sane,Cordelia Schmid,Ivan Laptev",2021-07-18,,ICML 2021 - Thirty-eighth International Conference on Machine Learning,2021-07-18
"Maria Virginia Ruiz Cuevas,Nataliya Sokolovska,Pierre-Henri Wuillemin,Jean-Daniel Zucker",2018-07-15,,ICML / IJCAI / AAMAS FAIM'18 Workshop on CausalML,2018-07-15
"Saumya Sinha,Sophie Giffard-Roisin,Fatima Karbou,Michaël Deschâtres,Anna Karas,Nicolas Eckert,Claire Monteleoni",2019-12-14,,NeurIPS 2019 Workshop : Tackling Climate Change with Machine Learning NeurIPS workshop,2019-12-14
"Francis Bach,Eric Moulines",2013-12,,Neural Information Processing Systems (NIPS),2013-12
"Francis Bach,Eric Moulines",2011,,Neural Information Processing Systems (NIPS),2011
"Stefanie Jegelka,Francis Bach,Suvrit Sra",2013-12-05,,NIPS 2013 - Neural Information Processing Systems,2013-12-05
"Honghao Li,Vincent Cabeli,Nadir Sella,Hervé Isambert",2019-12-08,,33rd Conference on Neural Information Processing Systems (NeurIPS 2019),2019-12-08
"Hadi Daneshmand,Jonas Kohler,Francis Bach,Thomas Hofmann,Aurelien Lucchi",2020-12-06,,NeurIPS 2020 - Thirty-fourth Conference on Neural Information Processing Systems,2020-12-06
"Emilio Jorge,Hannes Eriksson,Christos Dimitrakakis,Debabrota Basu,Divya Grover",2020-12-07,,"""I Can't Believe It's Not Better!"" at NeurIPS Workshops",2020-12-07
"Jesus Bujalance,Raphael Chekroun,Fabien Moutarde",2021-12-13,,'Deep Reinforcement Learning' workshop of the 35th Conference on Neural Information Processing Systems (NeurIPS'2021),2021-12-13
"Mayalen Etcheverry,Clément Moulin-Frier,Pierre-Yves Oudeyer",2020-12-06,,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020-12-06
"Yuan Yin,Ibrahim Ayed,Emmanuel de Bézenac,Nicolas Baskiotis,Patrick Gallinari",2021-12-06,,The Thirty-Fifth Annual Conference on Neural Information Processing Systems (NeurIPS 2021),2021-12-06
"Guillaume Baudart,Martin Hirzel,Kiran Kate,Parikshit Ram,Avraham Shinnar,Jason Tsay",2021-12-06,,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021-12-06
"Sarao Mannelli Stefano,Giulio Biroli,Chiara Cammarota,Florent Krzakala,Pierfrancesco Urbani,Lenka Zdeborová",2020-12-06,,2020 Conference on Neural Information Processing Systems - NeurIPS 2020,2020-12-06
"Alberto Bietti,Julien Mairal",2019-12-08,,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019-12-08
